nama_bahan,berat (g),energi (kal),protein (g),lemak (g),karbo (g),serat (g),food_group,food_type
"Pisang mas bali
kopang, segar",100,127,1.4,0.2,31.8,3.7,buah,raw
"Pisang mas, segar",100,127,1.4,0.2,33.6,1.4,buah,raw
"Pisang raja sereh,
segar",100,108,1.3,0.3,28.2,0.7,buah,raw
"Pisang raja, segar",100,120,1.2,0.2,31.8,5.3,buah,raw
"Pisang rotan, segar",100,98,1.3,1.2,20.5,1,buah,raw
"Pisang talas, segar",100,113,1.2,0.2,26.7,4.4,buah,raw
Pisang tujuh bulan,100,94,0.6,0.2,22.5,3.7,buah,raw
"Pisang ua, segar",100,128,0.8,0.5,30.2,8.1,buah,raw
"Pisang uli, segar",100,134,1.1,0.5,35.5,1.4,buah,raw
"Purut, segar",100,76,4.1,1.1,15.2,1.7,buah,raw
"Rambutan binjai,
segar",100,76,0.5,0.2,18,3.8,buah,raw
"Rambutan, segar",100,69,0.9,0.1,18.1,0.8,buah,raw
"Salak bali, segar",100,57,0.5,0.1,13.6,1.3,buah,raw
"Salak medan, segar",100,55,0.4,0.2,12.8,3.2,buah,raw
"Salak pondoh, segar",100,87,0.8,0.4,20.1,0,buah,raw
"Salak, segar",100,77,0.4,,20.9,,buah,raw
"Sawo duren, segar",100,64,1,3.1,8,0.8,buah,raw
"Sawo kecik, segar",100,111,0.9,2.3,21.6,1,buah,raw
"Sawo Manila, segar",100,92,0.5,1.1,22.4,9.5,buah,raw
"Semangka, segar",100,28,0.5,0.2,6.9,0.4,buah,raw
"Sirsak, segar",100,65,1,0.3,16.3,3.2,buah,raw
"Sowa, segar",100,48,1.6,0.6,9.1,45,buah,raw
"Srikaya, segar",100,63,1.1,0.5,13.9,2.1,buah,raw
"Sukun muda, segar",100,119,1.4,0.2,28.1,1.4,buah,raw
"Sukun tua, segar",100,126,1.6,0.2,24.5,1.5,buah,raw
"Vigus, segar",100,44,2.4,0.1,8.3,,buah,raw
"Wani, segar",100,74,0.8,0.3,17.1,3.1,buah,raw
Barongko,100,159,3.1,5.8,23.5,,buah,processed
Dodol nanas,100,338,1.5,1.2,80.3,,buah,processed
Getuk pisang,100,144,1.1,0.4,34.1,0.4,buah,processed
Keripik lampung,100,485,1.7,"22.
2",69.7,0.6,buah,processed
Ledre pisang,100,405,4.8,5.1,84.9,0.4,buah,processed
Lempog durian,100,320,3.5,5.7,63.7,4.9,buah,processed
Loka anjoro,100,163,1.1,4.3,30,,buah,processed
Rica-rica taipa,100,49,1.6,0.3,10,,buah,processed
Rujak aceh,100,82,0.4,0.3,19.7,2.4,buah,processed
Sale kesemek,100,296,1.1,0.6,71.4,,buah,processed
Sale pisang siam,100,281,2.4,0.7,66.1,1,buah,processed
"Sale pisang, cilacap",100,295,2.3,2.1,66.9,1.3,buah,processed
Sanggara belanda,100,242,6.4,7.1,38.2,,buah,processed
Tepung Pisang,100,338,2.9,0.4,80.6,5.3,buah,processed
Tepung Sukun,100,353,2.9,0.5,84.4,3.7,buah,processed
"Anak sapi, daging,
gemuk, segar",100,184,18.8,14,0,0,daging,raw
"Anak sapi, daging,
kurus, segar",100,174,19.6,10,0,0,daging,raw
"Anak sapi, daging,
sedang, segar",100,190,19.1,12,0,0,daging,raw
"Angsa, daging, segar",100,349,16.4,31.5,0,0,daging,raw
"Ayam, daging, segar",100,298,18.2,25,0,0,daging,raw
"Ayam, dideh/darah,
segar",100,75,13.8,1.9,0.7,0,daging,raw
"Ayam, hati, segar",100,261,27.4,16.1,1.6,0,daging,raw
"Babi, daging,
gemuk,segar",100,453,11.9,45,0,0,daging,raw
"Babi, daging, kurus,
segar",100,371,14.1,35,0,0,daging,raw
"Babi, ginjal, segar",100,110,16.3,4.6,0.8,0,daging,raw
"Babi, hati, segar",100,129,19.7,4.8,1.7,0,daging,raw
"Bebek (itik), daging,
segar",100,321,16,28.6,0,0,daging,raw
"Bebek alabio, daging,
segar",100,303,11.3,27,3.7,0,daging,raw
"Belibis, daging, segar",100,131,20.2,4.3,2.8,0,daging,raw
"Burung, sarang, segar",100,281,37.5,0.3,32.1,,daging,raw
"Domba, daging,
gemuk, segar",100,317,15.7,27.7,0,0,daging,raw
"Domba, daging, kurus,
segar",100,202,17.1,14.8,0,0,daging,raw
"Domba, ginjal, segar",100,100,16.6,3.3,1,0,daging,raw
"Kambing, daging,
segar",100,149,16.6,9.2,0,0,daging,raw
"Kelinci, daging, segar",100,142,16.9,7.8,0,0,daging,raw
"Kerbau, daging, segar",100,79,18.7,0.5,0,0,daging,raw
"Kuda, daging, segar",100,113,18.1,4.1,0.9,0,daging,raw
"Sapi, babat, segar",100,108,17.6,4.2,0,0,daging,raw
"Sapi, daging, gemuk,
segar",100,273,17.5,22,0,0,daging,raw
"Sapi, daging, kurus,
segar",100,174,19.6,10,0,0,daging,raw
"Sapi, daging, lemak
sedang, segar",100,201,18.8,14,0,0,daging,raw
"Sapi, daleman, segar",100,183,12,14.4,1.4,0,daging,raw
"Sapi, dideh/darah",100,98,21.9,1.1,0,0,daging,raw
"Sapi, ginjal, segar",100,137,15,8.1,0.9,0,daging,raw
"Sapi, keleponan, segar",100,84,10.5,4.6,0.2,0,daging,raw
"Sapi, liver, segar",100,132,19.7,3.2,6,0,daging,raw
"Sapi, otak, segar",100,123,10.4,8.6,0.8,0,daging,raw
"Sapi, usus, segar",100,126,14,7.2,1.5,0,daging,raw
Ulat sagu segar,100,241,5.8,21.6,5.8,2.8,daging,raw
"Ayam, ampela, goreng",100,270,32.3,11.2,9.9,0,daging,processed
"Ayam, usus, goreng",100,473,45.2,26.3,13.9,0,daging,processed
"Bebek, daging, goreng",100,300,24,20.7,4.5,0,daging,processed
"Buaya, daging,
dendeng, mentah",100,365,49.6,4.8,30.8,,daging,processed
Ham,100,384,16.9,35,0.3,0,daging,processed
"Itik alabio, daging,
dendeng, mentah",100,496,30.3,33.5,18.4,,daging,processed
Kerupuk urat,100,588,53.7,40.9,1.2,,daging,processed
"Menjangan, daging,
dendeng, mentah",100,322,55.8,2,22.7,,daging,processed
"Punai, daging, goreng",100,224,26.2,11.3,4.4,,daging,processed
"Rusa, daging,
dendeng, mentah",100,536,40.5,41.5,0,,daging,processed
"Sapi, abon",100,212,18,10.6,59.3,7.5,daging,processed
"Sapi, abon, asli",100,358,14.6,16.1,38.6,2.5,daging,processed
"Sapi, daging, asap",100,182,32,6,0,0,daging,processed
"Sapi, daging, dendeng,
mentah",100,301,55,9,0,,daging,processed
"Sapi, daging, kornet",100,289,16,25,0,0,daging,processed
"Sapi, daging, sosis
(Worst)",100,448,14.5,42.3,2.3,,daging,processed
"Sapi, hati, sosis
(liverworst)",100,274,16,22,3,2.3,daging,processed
"Sapi, paru, dendeng,
mentah",100,360,57.3,6,19.2,,daging,processed
"Sapi, paru, goreng",100,268,23.9,12.7,14.5,,daging,processed
"Ulat sagu, panggang",100,380,11.9,30.3,14.9,4.8,daging,processed
"Ayam goreng church
texas, dada",100,338,35.2,20.6,0.4,0,daging,processed
"Ayam goreng
church,texas paha",100,287,31,15.7,1.7,0,daging,processed
"Ayam goreng church
texas, sayap",100,295,34,16,1.5,0,daging,processed
"Ayam goreng kalasan,
paha",100,275,37.4,12.2,1.3,0,daging,processed
"Ayam goreng
kentucky, dada",100,298,34.2,16.8,0.1,0,daging,processed
"Ayam goreng
Kentucky, paha",100,286,32.1,16.1,1.1,0,daging,processed
"Ayam  goreng
Kentucky,sayap",100,297,35.9,15.2,1.6,0,daging,processed
"Ayam goreng mbok
berek dada",100,295,39.2,13.6,1,0,daging,processed
"Ayam goreng
pasundan, dada",100,246,37.9,9,0.7,0,daging,processed
"Ayam goreng
pasundan, paha",100,245,33.1,11.4,0.3,0,daging,processed
"Ayam goreng pioneer,
dada",100,295,37.4,14.7,0.6,0,daging,processed
"Ayam goreng
sukabumi, dada",100,244,36.7,9.2,1,0,daging,processed
"Ayam goreng
sukabumi, paha",100,283,35.7,14.3,0.5,0,daging,processed
"Ayam taliwang,
masakan",100,264,18.2,20.1,2.7,,daging,processed
"Babi hutan masak rica,
masakan",100,491,24.6,16.3,0.2,,daging,processed
Beef burger,100,258,10.6,9.5,32.5,0.4,daging,processed
"Beef teriyaki, masakan",100,151,8.6,3.1,22.3,0.3,daging,processed
"Beef yakiniku,
masakan",100,132,9.8,1.1,20.7,0.3,daging,processed
Brongkos,100,141,15.3,3.3,12.6,1,daging,processed
"Bulgogi, masakan",100,72,11.4,4.9,1.4,1.7,daging,processed
"Chicken teriyaki,
masakan",100,168,13,9.6,7.5,0.8,daging,processed
"Chikiniku, masakan",100,143,9.8,1.4,22.8,0.4,daging,processed
"Coto mangkasara,
kuda, masakan",100,96,6.8,5.9,3.8,,daging,processed
"Coto mangkasara,
sapi, masakan",100,84,6,6,1.4,,daging,processed
"Djibokum, masakan",100,248,10,2.3,40.9,0.1,daging,processed
"Empal (daging)
Goreng, masakan",100,248,36.2,6.9,10.1,,daging,processed
Gulai kambing,100,126,4.2,9.4,6.2,,daging,processed
"Jangang bintatoeng,
masakan",100,107,5.3,2.2,16.5,,daging,processed
"Kalio ayam, masakan",100,203,16,13.5,4.4,,daging,processed
"Kalio jeroan, masakan",100,163,16.5,9,4.1,,daging,processed
"Kalio kikil (tunjang),
masakan",100,122,13.8,5.7,3.9,,daging,processed
"Kalio otak, masakan",100,157,8.1,8.8,11.4,,daging,processed
"Lawar babi, masakan",100,174,17,10,3,0,daging,processed
"Lawar penyu, masakan",100,141,23,1.5,7.6,0,daging,processed
"Lawara jangang,
masakan",100,159,5,10.9,10.1,,daging,processed
"Naan maran sapi,
masakan",100,478,38.3,33.9,5.1,,daging,processed
"Nasu likku, masakan",100,196,14.5,8.3,15.9,,daging,processed
"Oramu ninahu ndawa
olaho, masakan",100,117,13.7,5,4.3,,daging,processed
"Paniki masak santan,
masakan",100,460,28.5,35.2,7.2,,daging,processed
"Pelolah manuk,
masakan",100,219,19.7,13.6,4.4,,daging,processed
"Rawon, masakan",100,60,5.4,2.5,4,,daging,processed
"Rendang sapi,
masakan",100,193,22.6,7.9,7.8,0,daging,processed
"RW, anjing, masakan",100,198,24.6,10.7,0.9,,daging,processed
"Sate, penyu, masakan",100,179,22.5,3.5,13.3,0,daging,processed
"Sate pusut, masakan",100,274,12.9,18.6,13.6,,daging,processed
"Penyu, serapah,
masakan",100,174,13.1,12.2,2.2,0,daging,processed
"Sie reuboh, masakan",100,474,11.2,42.5,11.7,,daging,processed
"Sop buntut, masakan",100,71,7.5,3.6,2.2,,daging,processed
"Sop daging sapi,
masakan",100,49,5.8,0.5,5.3,,daging,processed
"Sop kaki sapi,
masakan",100,68,9,1.9,3.7,,daging,processed
"Sop kambing,
masakan",100,34,5.5,0.8,1.1,,daging,processed
"Sop konro, masakan",100,71,7.4,2.6,4.5,,daging,processed
"Sop saudara, masakan",100,89,7.2,5,3.9,,daging,processed
"Soto bandung,
masakan",100,42,3.9,1.7,2.8,0.4,daging,processed
"Soto banjar, masakan",100,110,2.9,9.5,3.2,,daging,processed
"Soto betawi, masakan",100,135,2.5,8.8,11.5,0.5,daging,processed
"Soto jeroan, masakan",100,92,11.8,4.3,1.4,,daging,processed
"Soto kudus, masakan",100,38,2.6,2.3,1.8,0.2,daging,processed
"Soto madura,
masakan",100,60,3.5,4.5,1.3,0,daging,processed
"Soto padang, masakan",100,127,5.9,6.6,11,0.7,daging,processed
"Soto pekalongan,
masakan",100,94,3,6.8,5.1,0.3,daging,processed
"Soto pemalang,
masakan",100,75,3.6,5.2,3.5,0,daging,processed
"Soto sukaraja,
masakan",100,80,3.2,3.5,9,0.3,daging,processed
"Soto sulung, masakan",100,86,2.3,8.5,0,0,daging,processed
"Sukiyaki, masakan",100,75,5.6,0.4,12.2,0.2,daging,processed
"Tedong pallu basa,
masakan",100,83,10.4,3.4,2.8,,daging,processed
"Tikus rica, masakan",100,257,18.8,18.5,3.8,,daging,processed
"Tinoransa, masakan",100,516,17.7,49.5,0,,daging,processed
"Belut, segar",100,70,14.6,0.8,1,0,ikan,raw
"Belut,laut, segar",100,93,12.8,1.5,6.1,0,ikan,raw
"Cumi-cumi, segar",100,75,16.1,0.7,0.1,0,ikan,raw
"Ikan bader, segar",100,193,19,13,0,0,ikan,raw
"Ikan balong, segar",100,107,16.5,3.9,1.5,0,ikan,raw
"Ikan bambangan,
segar",100,112,20,1.3,3.7,0,ikan,raw
"Ikan bandeng, segar",100,123,20,4.8,0,0,ikan,raw
"Ikan banjar, segar",100,111,19.4,0.9,4.8,0,ikan,raw
"Ikan baronang, segar",100,78,14.5,0.6,3.7,0,ikan,raw
"Ikan batung, segar",100,115,14.5,4.6,4.2,0,ikan,raw
"Ikan baung, segar",100,123,15.1,5.5,3.3,0,ikan,raw
"Ikan bawal, segar",100,91,19,1.7,0,0,ikan,raw
"Ikan Belida, segar",100,80,14.7,1.4,2.2,0,ikan,raw
"Ikan beunteur, segar",100,109,17,4,0,0,ikan,raw
"Ikan biawan, segar",100,90,14.9,2.5,2.1,0,ikan,raw
"Ikan bili, segar",100,88,14.2,0.7,6.2,0,ikan,raw
"Ikan bubara, segar",100,100,14.7,2.4,4.9,,ikan,raw
"Ikan bulan-bulan,
segar",100,134,25.5,1.3,5,,ikan,raw
"Ikan cakalang, segar",100,107,19.6,0.7,5.5,0,ikan,raw
"Ikan cakalang, hati,
segar",100,120,11.3,3.9,10,,ikan,raw
"Ikan cakalang,
jantung, segar",100,116,11.2,1.2,10.2,,ikan,raw
"Ikan cakalang, perut,
segar",100,86,10.2,1.1,8.7,,ikan,raw
"Ikan daun, segar",100,101,11.5,4.1,4.6,0,ikan,raw
"Ikan ekor kuning,
segar",100,108,22.3,1.2,2.1,0,ikan,raw
"Ikan gabus, segar",100,80,16.2,0.5,2.6,0,ikan,raw
"Ikan heu, segar",100,81,10,1.6,6.6,,ikan,raw
"Ikan hitam, segar",100,101,10.3,3.7,6.7,0,ikan,raw
"Ikan hiu, segar",100,57,10.7,0.3,2.2,0,ikan,raw
"Ikan kacangan, segar",100,77,15.6,0.9,1.6,0,ikan,raw
"Ikan kakap, segar",100,92,20,0.7,0,0,ikan,raw
"Ikan kakatua, segar",100,82,11.4,1.2,6.4,,ikan,raw
"Ikan kalaban, segar",100,77,16.4,0.7,1.3,0,ikan,raw
"Ikan kamera (kakap
merah), segar",100,86,19.7,0.8,0,0,ikan,raw
"Ikan kapar, segar",100,132,17,6.7,0.8,0,ikan,raw
"Ikan kawalinya, segar",100,110,12.6,4.2,5.4,,ikan,raw
"Ikan keru-keru, segar",100,93,16.5,2.1,0.8,0,ikan,raw
"Ikan kima, segar",100,70,10.8,0.7,5.2,,ikan,raw
"Ikan lais, segar",100,161,11.9,11.5,2.4,0,ikan,raw
"Ikan layang, segar",100,109,22,1.7,0,0,ikan,raw
"Ikan layur, segar",100,82,18,1,0.4,0,ikan,raw
"Ikan lehoma, segar",100,90,20.4,0.9,0,,ikan,raw
"Ikan lemuru, segar",100,112,20,3,0,0,ikan,raw
"Ikan lidah, segar",100,104,15.6,3.2,2,0,ikan,raw
"Ikan malalugis, segar",100,99,20.6,1.4,0.9,,ikan,raw
"Ikan mamar merah,
segar",100,115,15.3,4,4.4,0,ikan,raw
"Ikan mas, segar",100,86,16,2,0,0,ikan,raw
"Ikan mayong, segar",100,97,17.9,2,0.4,0,ikan,raw
"Ikan mujahir, segar",100,89,18.7,1,0,0,ikan,raw
"Ikan nasu metti, segar",100,154,16.8,5,10.5,,ikan,raw
"Ikan oci, kembung,
segar",100,125,21.3,3.4,2.2,,ikan,raw
"Ikan paling, segar",100,303,14,27,0,0,ikan,raw
"Ikan papuyu/ betok,
segar",100,120,14.3,4.9,4.6,0,ikan,raw
"Ikan patin, segar",100,132,17,6.6,1.1,0,ikan,raw
"Ikan pomo, segar",100,147,22.5,5.2,2.6,,ikan,raw
"Ikan puntin, segar",100,76,14.4,1.1,2.2,,ikan,raw
"Ikan saluang, segar",100,113,13.9,4.9,3.4,0,ikan,raw
"Ikan sarden, segar",100,109,19.9,1.8,3.4,0,ikan,raw
"Ikan selar, segar",100,100,18.8,2.2,0,0,ikan,raw
"Ikan sepat, segar",100,84,15.2,0.6,4.7,0,ikan,raw
"Ikan sidat, segar",100,81,11.4,1.9,3.8,0,ikan,raw
"Ikan sunu, segar",100,111,13.3,3.4,6.7,,ikan,raw
"Ikan tahuman, segar",100,88,15.9,0.9,4.1,0,ikan,raw
"Ikan tarmon, segar",100,96,19.5,1.1,2,0,ikan,raw
"Ikan telan, segar",100,95,15.8,0.7,6.5,0,ikan,raw
"Ikan tembang, segar",100,204,16,15,0,0,ikan,raw
"Ikan tempahas, segar",100,101,15.1,4.1,1,0,ikan,raw
"Ikan terbang, segar",100,98,19.6,1.7,1,0,ikan,raw
"Ikan teri, segar",100,74,10.3,1.4,4.1,0,ikan,raw
"Ikan titang, segar",100,82,17.4,0.4,2.3,0,ikan,raw
"Ikan tongkol, segar",100,100,13.7,1.5,8,0,ikan,raw
"Ikan turi, segar",100,96,19.2,2,0.2,,ikan,raw
"Keong, segar",100,64,12,1,2,0,ikan,raw
"Kepiting, segar",100,151,13.8,3.8,14.1,0,ikan,raw
"Kerang, segar",100,101,14.4,2.6,3.9,0,ikan,raw
"Kodok, segar",100,73,16.4,0.3,0,0,ikan,raw
"Kura-kura, segar",100,83,19.1,0.2,0,0,ikan,raw
"Kuro, segar",100,87,16,2.2,1,0,ikan,raw
"Lokan, segar",100,217,11,1.7,5.1,,ikan,raw
"Rajungan, segar",100,76,12.1,2,2.4,0,ikan,raw
"Rebon, udang kecil,
segar",100,81,16.2,1.2,0.7,0,ikan,raw
Rusip,100,110,11.5,2,11.7,0,ikan,raw
"Udang galah, segar",100,81,16.5,0.3,3,0,ikan,raw
"Udang, besar, segar",100,56,11.4,0.6,1.2,0,ikan,raw
"Udang, segar",100,91,21,0.2,0.1,0,ikan,raw
"Bekicot, dendeng,
mentah",100,441,48.7,20.3,15.8,0,ikan,processed
"Belut, goreng",100,417,25.9,19.4,32,0,ikan,processed
"Cumi-cumi, goreng",100,265,40.6,10.1,0,0,ikan,processed
"Ikan asin, kering",100,193,42,1.5,0,0,ikan,processed
"Ikan bandeng presto,
masakan",100,296,17.1,20.3,11.3,0,ikan,processed
Ikan baung bakar,100,144,17.8,5.8,5.2,,ikan,processed
Ikan Belida bakar,100,128,18,3,7.2,0,ikan,processed
"Ikan cakalang asap,
mentah",100,204,34.2,5.6,1.9,,ikan,processed
"Ikan cakalang asin,
mentah",100,198,36.5,2.2,5.5,0,ikan,processed
"Ikan calo/ peda,
mentah",100,81,11.4,1.9,3.8,0,ikan,processed
"Ikan Gabus asap,
mentah",100,261,38.1,2.3,21.9,0,ikan,processed
"Ikan Gabus, kering",100,268,58,4,0,0,ikan,processed
"Ikan gete, goreng",100,267,23.1,19.4,0.2,,ikan,processed
"Ikan hiu, kering",100,298,46.3,3.6,20.2,,ikan,processed
"Ikan katombo, asin",100,162,31.7,2.8,0.3,0,ikan,processed
"Ikan kayu, kering",100,302,70.7,1.9,0.4,0,ikan,processed
Ikan Lais bakar,100,147,17.5,6.5,5.4,,ikan,processed
"Ikan lomak asin,
mentah",100,258,40.3,2.3,18.9,0,ikan,processed
Ikan Mas pepes,100,209,15.2,11.3,11.8,0.5,ikan,processed
Ikan mujahir goreng,100,416,46.9,23.9,0,0,ikan,processed
Ikan Mujahir pepes,100,121,21.7,2.8,0.8,0,ikan,processed
"Ikan mujahir,
dendeng, mentah",100,582,68.3,15.2,37.2,0,ikan,processed
"Ikan Papuyu, bakar",100,152,17.6,6.1,6.7,0,ikan,processed
"Ikan Patin, bakar",100,144,17.5,6.3,4.3,,ikan,processed
"Ikan peda banjar,
mentah",100,156,28,4,2,0,ikan,processed
"Ikan pepetek, mentah",100,176,32,4.4,2,0,ikan,processed
"Ikan Pindang banjar,
mentah",100,157,28,4.2,1.8,0,ikan,processed
"Ikan Pindang benggol,
mentah",100,170,31,4.2,0,0,ikan,processed
"Ikan Pindang layang,
mentah",100,153,30,2.8,0,0,ikan,processed
"Ikan Pindang selar,
mentah",100,142,27,3,0,0,ikan,processed
"Ikan sale, mentah",100,534,40.2,39.3,4.9,2,ikan,processed
"Ikan sale lais, mentah",100,415,61.3,17.6,2.9,0,ikan,processed
"Ikan saluang, kering,
mentah",100,284,34.1,9.9,14.6,0,ikan,processed
"Ikan sanggang,
masakan",100,240,21.7,7.7,20.7,,ikan,processed
"Ikan selar kuning, cue,
mentah",100,138,27,3.3,0,0,ikan,processed
"Ikan selar, kering,
mentah",100,194,38,3.5,0,0,ikan,processed
"Ikan sepat, kering,
mentah",100,289,38,14,0,0,ikan,processed
"Ikan sunu, asin,
mentah",100,199,34.1,3.8,7.1,,ikan,processed
"Ikan, tepung, mentah",100,316,60.1,6.5,22.4,0,ikan,processed
"Ikan Teri nasi, kering,
mentah",100,144,32.5,0.6,0,0,ikan,processed
"Ikan Teri, bubuk,
mentah",100,277,60,2.3,1.8,0,ikan,processed
"Ikan teri, kering,
mentah",100,170,33.4,3,0,0,ikan,processed
"Ikan Teri, kering,
tawar, mentah",100,331,68.7,4.2,0,0,ikan,processed
"Ikan Teri, tepung,
mentah",100,347,48.8,6.4,19.6,0,ikan,processed
"Kerang, asap, mentah",100,393,38.9,13.3,29.4,,ikan,processed
"Kerang, dendeng,
mentah",100,357,41.1,10,25.6,0,ikan,processed
"Rebon, kering, mentah",100,299,59.4,3.6,3.2,0,ikan,processed
"Rebung laut, mentah",100,320,7.2,4.2,63.3,,ikan,processed
Sardines dalam kaleng,100,338,21.1,27,1,0,ikan,processed
"Teripang, dendeng,
mentah",100,462,39.1,32.4,3.5,0,ikan,processed
"Udang kering, mentah",100,278,62.6,4.1,2.2,,ikan,processed
"Udang papay, mentah",100,273,47.8,3.8,12.5,,ikan,processed
"Telur ayam kampung,
segar",100,174,10.8,14,1.2,0,telur,raw
"Telur ayam ras, segar",100,154,12.4,10.8,0.7,0,telur,raw
"Telur ayam ras, bagian
kuning, segar",100,355,16.3,31.9,0.7,0,telur,raw
"Telur aAyam ras,
bagian putih, segar",100,50,10.8,0,0.8,0,telur,raw
"Telur bebek alabio,
segar",100,187,11.8,14.2,3,0,telur,raw
"Telur bebek, bagian
kuning, segar",100,386,17,35,0.8,0,telur,raw
"Telur bebek, bagian
putih, segar",100,54,11,0,0.8,0,telur,raw
"Telur bebek tambak,
segar",100,187,10.9,12.4,7.9,0,telur,raw
"Telur burung maleo,
segar",100,436,26.5,36.3,0.4,,telur,raw
"Telur penyu, segar",100,136,8.6,10.1,2.7,0,telur,raw
"Telur burung puyuh,
segar",100,116,10.7,7,1.6,0,telur,raw
"Telur ayam, dadar,
masakan",100,251,16.3,19.4,1.4,0,telur,processed
"Telur bebek, asin,
mentah",100,179,13.6,13.3,4.4,0,telur,processed
"Telur bebek, dadar,
masakan",100,301,20,23.7,0,0,telur,processed
"Ikan, telur, asin,
mentah",100,358,20.7,26.4,9.4,0,telur,processed
"Bayau mi balu,
masakan",100,313,6,12.2,44.8,,telur,processed
"Cucuru bayau,
masakan",100,349,6.8,18.7,38.3,,telur,processed
"Kalio telur, masakan",100,193,10.6,12.4,9.7,,telur,processed
"Kepala susu - krim,
segar",100,204,2.6,20,4,0,susu,raw
Susu ibu - ASI,100,62,1.5,3.2,7,0,susu,raw
"Susu kambing, segar",100,64,4.3,2.3,6.6,0,susu,raw
"Susu kerbau, segar",100,160,6.3,12,7.1,,susu,raw
"Susu kuda, segar",100,40,2,1.1,5.4,0,susu,raw
"Susu sapi, segar",100,61,3.2,3.5,4.3,0,susu,raw
Es krim,100,210,4,12.5,20.6,0,susu,processed
Hangop,100,65,10,1,3.5,0,susu,processed
Keju,100,326,22.8,20.3,13.1,0,susu,processed
Kwark (Quark),100,242,19,17,3,0,susu,processed
"Susu asam untuk bayi,
bubuk",100,418,19,9,65.5,0,susu,processed
Susu bubuk,100,513,24.6,30,36.2,0,susu,processed
Susu kental manis,100,343,8.2,10,55,0,susu,processed
Susu kental tak manis,100,138,7,7.9,9.9,,susu,processed
"Susu skim, bubuk",100,359,35.6,1,52,0,susu,processed
"Susu skim, segar",100,36,3.5,0.1,5.1,,susu,processed
"Yoghurt, segar",100,52,3.3,2.5,4,0,susu,processed
"Kelapa setengah tua,
daging, segar",100,180,4,15,10,2.4,lemak minyak,raw
"Kelapa tua, daging,
segar",100,359,3.4,34.7,14,4.7,lemak minyak,raw
Lemak babi (lard),100,902,0,100,0,0,lemak minyak,raw
Lemak babi (bacon),100,626,9.1,65,1.1,0,lemak minyak,raw
Lemak ikan,100,372,12,29.4,14.4,0,lemak minyak,raw
"Lemak kerbau (lemak
sapi)",100,818,1.5,90,0,0,lemak minyak,raw
"Minyak hiu, hati",100,902,0,100,0,0,lemak minyak,raw
Minyak ikan,100,902,0,100,0,0,lemak minyak,raw
Minyak kacang tanah,100,902,0,100,0,0,lemak minyak,raw
Minyak kedelai,100,883,0,99.9,0,0,lemak minyak,raw
Minyak kelapa,100,870,1,98,0,0,lemak minyak,raw
Minyak kelapa sawit,100,884,0,100,0,0,lemak minyak,raw
Minyak wijen,100,881,0.2,99.7,0,0,lemak minyak,raw
Minyak zaitun,100,884,0,100,0,0,lemak minyak,raw
Margarin,100,720,0.6,81,0.4,0,lemak minyak,processed
Mentega,100,742,0.5,81.6,1.4,0,lemak minyak,processed
Santan (dengan air),100,122,2,10,7.6,1.4,lemak minyak,processed
Santan murni,100,324,4.2,34.3,5.6,0,lemak minyak,processed
"Coklat manis, batang",100,527,2,29.8,62.7,6.5,gula,processed
"Coklat pahit,batang",100,615,5.5,42.6,29.2,10.8,gula,processed
"Coklat susu, batang",100,565,9,35,53.6,3.4,gula,processed
Coklat bubuk,100,311,8,4,48.9,32.6,gula,processed
Gula aren,100,368,0,0,92,0,gula,processed
Gula kelapa,100,386,3,10,76,0,gula,processed
Gula putih,100,394,0,0,94,0,gula,processed
"Jam, selai",100,239,0.5,0.6,64.5,1,gula,processed
Kopi bubuk instant,100,129,12.3,0.5,35,0,gula,processed
Madu,100,294,0.3,0,79.5,0.2,gula,processed
Markisa squash,100,217,2.5,1,49.6,,gula,processed
"Markisa squash, BD",100,104,1.2,0.5,23.7,,gula,processed
Melase,100,276,,0.1,71,0,gula,processed
Sirup,100,213,0,0,55,0,gula,processed
Sirup pirous,100,228,0.2,0.4,55.9,0,gula,processed
Teh hijau daun kering,100,300,28.3,4.8,53.6,9.6,gula,processed
Teh hitam daun kering,100,293,24.5,2.8,58.8,8.7,gula,processed
"Teh melati daun
kering",100,299,24.1,3.5,59,9.7,gula,processed
"Asam arang coklat,
segar",100,130,0.5,1.1,30.9,1.5,bumbu,raw
"Asam arang merah,
segar",100,99,0.8,1.6,20.3,2.8,bumbu,raw
"Asan kandis, kering",100,261,0.9,1.6,63.3,5,bumbu,raw
"Asam kandis, segar",100,75,0.2,1.1,16.1,3.4,bumbu,raw
"Asam masak pohon,
segar",100,267,2.8,0.6,62.5,1.2,bumbu,raw
"Asam payak, segar",100,135,0.8,0.4,32.1,10,bumbu,raw
"Bawang merah, segar",100,46,1.5,0.3,9.2,1.7,bumbu,raw
"Bawang putih, segar",100,112,4.5,0.2,23.1,0.6,bumbu,raw
"Boros kunci, segar",100,40,1,0.8,7.2,1,bumbu,raw
"Boros laja (lengkuas),
segar",100,26,1,0.3,4.7,1.1,bumbu,raw
"Cabai gembor merah,
segar",100,38,1.6,0.8,6.3,1.6,bumbu,raw
"Cabai hijau, segar",100,26,0.7,0.3,5.2,2.6,bumbu,raw
"Cabai merah, kering",100,367,15.9,6.2,61.8,26.9,bumbu,raw
"Cabai merah, segar",100,36,1,0.3,7.3,1.4,bumbu,raw
"Cabai rawit, segar",100,120,4.7,2.4,19.9,15.2,bumbu,raw
