nama_bahan,berat (g),energi (kal),protein (g),lemak (g),karbo (g),serat (g),food_group,food_type
"Keong, segar",100,64,12,1,2,0,ikan,raw
"Kepiting, segar",100,151,13.8,3.8,14.1,0,ikan,raw
"Kerang, segar",100,101,14.4,2.6,3.9,0,ikan,raw
"Lokan, segar",100,217,11,1.7,5.1,,ikan,raw
"Rajungan, segar",100,76,12.1,2,2.4,0,ikan,raw
"Rebon, udang kecil,
segar",100,81,16.2,1.2,0.7,0,ikan,raw
Rusip,100,110,11.5,2,11.7,0,ikan,raw
"Udang galah, segar",100,81,16.5,0.3,3,0,ikan,raw
"Udang, besar, segar",100,56,11.4,0.6,1.2,0,ikan,raw
"Udang, segar",100,91,21,0.2,0.1,0,ikan,raw
"Cumi-cumi, goreng",100,265,40.6,10.1,0,0,ikan,processed
"Ikan bandeng presto,
masakan",100,296,17.1,20.3,11.3,0,ikan,processed
Ikan baung bakar,100,144,17.8,5.8,5.2,,ikan,processed
Ikan Belida bakar,100,128,18,3,7.2,0,ikan,processed
"Ikan cakalang asap,
mentah",100,204,34.2,5.6,1.9,,ikan,processed
"Ikan cakalang asin,
mentah",100,198,36.5,2.2,5.5,0,ikan,processed
"Ikan calo/ peda,
mentah",100,81,11.4,1.9,3.8,0,ikan,processed
"Ikan Gabus asap,
mentah",100,261,38.1,2.3,21.9,0,ikan,processed
"Ikan Gabus, kering",100,268,58,4,0,0,ikan,processed
"Ikan gete, goreng",100,267,23.1,19.4,0.2,,ikan,processed
"Ikan katombo, asin",100,162,31.7,2.8,0.3,0,ikan,processed
"Ikan kayu, kering",100,302,70.7,1.9,0.4,0,ikan,processed
Ikan Lais bakar,100,147,17.5,6.5,5.4,,ikan,processed
"Ikan lomak asin,
mentah",100,258,40.3,2.3,18.9,0,ikan,processed
Ikan Mas pepes,100,209,15.2,11.3,11.8,0.5,ikan,processed
Ikan mujahir goreng,100,416,46.9,23.9,0,0,ikan,processed
Ikan Mujahir pepes,100,121,21.7,2.8,0.8,0,ikan,processed
"Ikan mujahir,
dendeng, mentah",100,582,68.3,15.2,37.2,0,ikan,processed
"Ikan Papuyu, bakar",100,152,17.6,6.1,6.7,0,ikan,processed
"Ikan Patin, bakar",100,144,17.5,6.3,4.3,,ikan,processed
"Ikan peda banjar,
mentah",100,156,28,4,2,0,ikan,processed
"Ikan pepetek, mentah",100,176,32,4.4,2,0,ikan,processed
"Ikan Pindang banjar,
mentah",100,157,28,4.2,1.8,0,ikan,processed
"Ikan Pindang benggol,
mentah",100,170,31,4.2,0,0,ikan,processed
"Ikan Pindang layang,
mentah",100,153,30,2.8,0,0,ikan,processed
"Ikan Pindang selar,
mentah",100,142,27,3,0,0,ikan,processed
"Ikan sale, mentah",100,534,40.2,39.3,4.9,2,ikan,processed
"Ikan sale lais, mentah",100,415,61.3,17.6,2.9,0,ikan,processed
"Ikan saluang, kering,
mentah",100,284,34.1,9.9,14.6,0,ikan,processed
"Ikan sanggang,
masakan",100,240,21.7,7.7,20.7,,ikan,processed
"Ikan selar kuning, cue,
mentah",100,138,27,3.3,0,0,ikan,processed
"Ikan selar, kering,
mentah",100,194,38,3.5,0,0,ikan,processed
"Ikan sepat, kering,
mentah",100,289,38,14,0,0,ikan,processed
"Ikan sunu, asin,
mentah",100,199,34.1,3.8,7.1,,ikan,processed
"Ikan, tepung, mentah",100,316,60.1,6.5,22.4,0,ikan,processed
"Ikan Teri nasi, kering,
mentah",100,144,32.5,0.6,0,0,ikan,processed
"Ikan Teri, bubuk,
mentah",100,277,60,2.3,1.8,0,ikan,processed
"Ikan teri, kering,
mentah",100,170,33.4,3,0,0,ikan,processed
"Ikan Teri, kering,
tawar, mentah",100,331,68.7,4.2,0,0,ikan,processed
"Ikan Teri, tepung,
mentah",100,347,48.8,6.4,19.6,0,ikan,processed
"Kerang, asap, mentah",100,393,38.9,13.3,29.4,,ikan,processed
"Kerang, dendeng,
mentah",100,357,41.1,10,25.6,0,ikan,processed
"Rebon, kering, mentah",100,299,59.4,3.6,3.2,0,ikan,processed
"Rebung laut, mentah",100,320,7.2,4.2,63.3,,ikan,processed
Sardines dalam kaleng,100,338,21.1,27,1,0,ikan,processed
"Teripang, dendeng,
mentah",100,462,39.1,32.4,3.5,0,ikan,processed
"Udang kering, mentah",100,278,62.6,4.1,2.2,,ikan,processed
"Udang papay, mentah",100,273,47.8,3.8,12.5,,ikan,processed
"Telur ayam kampung,
segar",100,174,10.8,14,1.2,0,telur,raw
"Telur ayam ras, segar",100,154,12.4,10.8,0.7,0,telur,raw
"Telur bebek alabio,
segar",100,187,11.8,14.2,3,0,telur,raw
"Telur bebek tambak,
segar",100,187,10.9,12.4,7.9,0,telur,raw
"Telur burung puyuh,
segar",100,116,10.7,7,1.6,0,telur,raw
"Telur ayam, dadar,
masakan",100,251,16.3,19.4,1.4,0,telur,processed
"Telur bebek, dadar,
masakan",100,301,20,23.7,0,0,telur,processed
Keju,100,326,22.8,20.3,13.1,0,susu,processed
"Yoghurt, segar",100,52,3.3,2.5,4,0,susu,processed
Lemak ikan,100,372,12,29.4,14.4,0,lemak,raw
"Minyak hiu, hati",100,902,0,100,0,0,lemak,raw
Minyak ikan,100,902,0,100,0,0,lemak,raw
Minyak kacang tanah,100,902,0,100,0,0,lemak,raw
Minyak kedelai,100,883,0,99.9,0,0,lemak,raw
Minyak kelapa,100,870,1,98,0,0,lemak,raw
Minyak kelapa sawit,100,884,0,100,0,0,lemak,raw
Minyak wijen,100,881,0.2,99.7,0,0,lemak,raw
Minyak zaitun,100,884,0,100,0,0,lemak,raw
Margarin,100,720,0.6,81,0.4,0,lemak,processed
Mentega,100,742,0.5,81.6,1.4,0,lemak,processed
Santan (dengan air),100,122,2,10,7.6,1.4,lemak,processed
Santan murni,100,324,4.2,34.3,5.6,0,lemak,processed
"Kelapa muda, air,
segar",100,17,0.2,0.1,3.8,0,minuman,raw
